"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0267212",22.1443452157951,-0.345261442335839,0.167997449016271,-1.96163807189425,0.0498046364706621,0.168683319210033,"not sig."
"DDB_G0267354",594.889990064897,-0.100092508139236,0.153670393123229,-0.293442328833599,0.76918407496032,0.878569507440472,"not sig."
"DDB_G0267370",24.3263994445056,0.0456704566550799,0.168628268481032,0.588153659507645,0.556429158667879,0.750704637506091,"not sig."
"DDB_G0267374",6026.21235933118,-0.0916555804174242,0.0878454818853547,-0.975771375452586,0.329177772737307,0.555299890179956,"not sig."
"DDB_G0267376",190.557110806499,-0.299459162919705,0.120723794089306,-2.33275692048288,0.0196609068610336,0.0897844485014287,"FDR 0.1"
"DDB_G0267380",36297.2417773145,-0.346707543364991,0.105712655790908,-3.36478363331297,0.00076603704687677,0.0102199654090531,"FDR 0.05"
"DDB_G0267382",46632.9268205305,-0.294569254625203,0.118264332322395,-2.13000035079712,0.0331715844057398,0.128802910530683,"not sig."
"DDB_G0267384",105.485999671376,0.455672032326182,0.145347044051602,2.45222424193971,0.0141976153995915,0.0716924365788647,"FDR 0.1"
"DDB_G0267386",14770.0872821367,-0.183116756757632,0.115278768458644,-1.40641339518351,0.159601404934201,0.359103161101953,"not sig."
"DDB_G0267388",804.17610759708,-0.428042805828265,0.114042268735586,-3.75185451149235,0.000175531322577363,0.00374691861655525,"FDR 0.05"
"DDB_G0267390",6470.12822966389,-0.0125582477036063,0.0927795202280907,-0.31501159126131,0.752752853037163,0.868875298005253,"not sig."
"DDB_G0267392",66.0144044439794,-0.217177665792562,0.148633718937364,-1.46229716627981,0.1436597947317,0.334723703090232,"not sig."
"DDB_G0267394",1467.20441750178,0.222336441335616,0.1187197548278,1.96652800895607,0.0492376501876687,0.16737584230802,"not sig."
"DDB_G0267396",430.406111063178,0.190428099439664,0.114659440763346,1.56274533027517,0.118112507652673,0.293957137879971,"not sig."
"DDB_G0267398",7.85961848156229,-0.305253162636608,0.145315776043451,-1.85302309637957,0.063879048288993,0.198060736315034,"not sig."
"DDB_G0267400",71444.6355701588,-0.00759600190411923,0.0655232532935434,-0.108154026773766,0.913873512283671,0.955178529788018,"not sig."
"DDB_G0267402",25430.6247998318,-0.440964374026803,0.129040543791979,-3.19017908693321,0.0014218465477909,0.0154996753648083,"FDR 0.05"
"DDB_G0267404",787.520121212788,0.287317076815785,0.11514841992875,2.27174352703073,0.0231020055459153,0.100548103021276,"not sig."
"DDB_G0267406",267.293885665538,-0.0308324076357703,0.111667926522559,-0.456337783080135,0.648147098206878,0.809242175448784,"not sig."
"DDB_G0267408",2281.2337697881,0.1434986413521,0.133186858382151,0.880928847688933,0.378356332468532,0.603320851734429,"not sig."
"DDB_G0267410",123.384710109522,-0.40064089140256,0.15013591971775,-2.75797976645207,0.00581597977237801,0.038921247270938,"FDR 0.05"
"DDB_G0267414",602.211109336281,0.194264356973433,0.083045793548913,2.4757012711845,0.0132974787255876,0.0689299566566106,"FDR 0.1"
"DDB_G0267416",5422.9473021735,-0.0929074809293626,0.117493418632394,-0.559778382662269,0.575630610396762,0.764387978140693,"not sig."
"DDB_G0267418",157557.326856067,-0.276893866639718,0.123313551611189,-1.9648135022813,0.0494358268572367,0.167912386204201,"not sig."
"DDB_G0267420",14325.3386328221,-0.445794007869641,0.128285638587818,-3.41093693712392,0.00064740063151267,0.00910362652743167,"FDR 0.05"
"DDB_G0267422",279.292190662484,-0.046925417582122,0.103772288399671,-0.284510561560173,0.776019141369994,0.881478967376886,"not sig."
"DDB_G0267424",326.487519073271,-0.165963265787345,0.10573446085271,-1.63291058089004,0.102487804466696,0.270174468709705,"not sig."
"DDB_G0267426",3641.03451461765,-0.279171800313656,0.12056019453681,-2.74716108811677,0.0060113601154786,0.0395609272421813,"FDR 0.05"
"DDB_G0267428",126.439690088777,0.613616326314404,0.12585075235878,4.78206208788733,1.73506067086388e-06,0.000113735276259384,"FDR 0.05"
"DDB_G0267430",114.040820461908,0.157147908249951,0.142102341459133,0.716441856388163,0.473718557527925,0.687464556724147,"not sig."
"DDB_G0267432",103.771910054755,0.132565166715807,0.147222165816322,1.80669759900421,0.0708094422770272,0.213273736235981,"not sig."
"DDB_G0267436",17078.5507694285,-0.15616670300583,0.0992345384171309,-1.4303979953365,0.152602823292126,0.348223692954636,"not sig."
"DDB_G0267438",721.455445956159,0.213750152186082,0.129872310811791,1.63032679390086,0.103032447593057,0.271266643330867,"not sig."
"DDB_G0267440",9.18948823993757,-0.172565472075278,0.163886068710295,-0.595465414390803,0.551532410982838,0.747680723242489,"not sig."
"DDB_G0267442",174.680486948272,-0.0575807841037369,0.120050463174462,-0.367754526414413,0.713056279030146,0.845879098654667,"not sig."
"DDB_G0267444",2172.83406251861,0.111094672071449,0.090061167623601,1.38030061402241,0.167494106000039,0.37084798735381,"not sig."
"DDB_G0267446",172.857645639945,0.00714417342739931,0.142446737329677,-0.220656132043596,0.825360191051545,0.908839088335223,"not sig."
"DDB_G0267448",507.419566377363,0.132853862280697,0.13041948117587,1.09464578012867,0.273671850960475,0.502718040433795,"not sig."
"DDB_G0267450",2370.82085891687,-0.0561377095446011,0.0949499599069299,-0.444618312542504,0.656595611272437,0.813053467773768,"not sig."
"DDB_G0267452",6693.49497540751,0.066767329486285,0.104979892702878,0.781851947328874,0.43430158790421,0.652157416901614,"not sig."
"DDB_G0267454",239774.129856485,-0.266267089121549,0.110117323936919,-2.19688531875325,0.0280286376228449,0.114888433387584,"not sig."
"DDB_G0267456",189.993276980282,-2.23123807417724,0.156977595519858,-13.3281010655642,1.5889070411889e-40,1.32276511178976e-36,"FDR 0.05"
"DDB_G0267458",36.0884403757647,-0.29879961529261,0.168784914966021,-0.118751138104559,0.905472520803308,0.950867848572674,"not sig."
"DDB_G0267460",191.816653954786,0.217848046256913,0.119331544366942,1.9371568617555,0.0527261716305687,0.174669868215075,"not sig."
"DDB_G0267462",245.607268718536,0.416718964334473,0.131265571541641,2.9928460284673,0.00276389149936401,0.0237946191646385,"FDR 0.05"
"DDB_G0267464",1342.45301054769,-0.306355934186688,0.1235484116469,-2.31029118241226,0.020872038773588,0.0941276938191335,"FDR 0.1"
"DDB_G0267470",101.931303499111,-0.366347691301313,0.146942752971966,-2.81818928809559,0.00482953288981902,0.0346005691116552,"FDR 0.05"
"DDB_G0267472",1636.91118974077,0.0508841172571531,0.100155510075295,0.431118619847152,0.666382122526064,0.820170190719912,"not sig."
"DDB_G0267476",14.7069671973645,-0.342406096117612,0.169153871987268,-2.09439131132577,0.0362251361294614,0.136830425715865,"not sig."
"DDB_G0267480",606.239014703515,0.403544580224069,0.145558683599429,2.44027454274161,0.0146761036435944,0.0736015438752551,"FDR 0.1"
"DDB_G0267482",233.104882713989,0.0678431299233049,0.142261588545015,0.372628056391329,0.709425288396037,0.84395048955373,"not sig."
"DDB_G0267484",161.825595611384,-0.0545532009328359,0.123501502329105,-0.164067716836793,0.86967783562302,0.932846858237637,"not sig."
"DDB_G0267486",473.34646492101,0.0163733683592501,0.135279135102421,0.112262087836872,0.910615601255218,0.953329336072647,"not sig."
"DDB_G0267488",35.390813646585,-0.00371383397920615,0.167896827762074,-0.0602501946377976,0.951956368755221,0.976075164796069,"not sig."
"DDB_G0267490",108.747320427046,0.201134836609919,0.150274897626857,0.93428921943525,0.350154723789842,0.576208356503348,"not sig."
"DDB_G0267492",1125.96491205852,0.226435280599421,0.109810218532259,2.22742158538817,0.0259191111288868,0.108813212379214,"not sig."
